Entity,Code,Year,Wind (TWh growth - equivalent)
Africa (EI),,2015,10.287999
Africa (EI),,2016,5.923334
Africa (EI),,2017,6.307234
Africa (EI),,2018,2.831913
Africa (EI),,2019,11.767506
Africa (EI),,2020,-0.6490669
Africa (EI),,2021,9.431503
Africa (EI),,2022,2.6856575
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0027090972
Algeria,DZA,2015,0.04845729
Algeria,DZA,2016,-0.00016333535
Algeria,DZA,2017,-0.00043860823
Algeria,DZA,2018,-0.02410717
Algeria,DZA,2019,-0.00009755604
Algeria,DZA,2020,-0.006137304
Algeria,DZA,2021,0.007252695
Algeria,DZA,2022,-0.000100193545
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.028440276
Argentina,ARG,1997,0.014708055
Argentina,ARG,1998,0.053075
Argentina,ARG,1999,0.006623611
Argentina,ARG,2000,-0.00006777793
Argentina,ARG,2001,0.042233065
Argentina,ARG,2002,0.06924471
Argentina,ARG,2003,0.011819437
Argentina,ARG,2004,-0.017312214
Argentina,ARG,2005,-0.0034011006
Argentina,ARG,2006,-0.007209182
Argentina,ARG,2007,-0.02399221
Argentina,ARG,2008,-0.05627667
Argentina,ARG,2009,-0.01502528
Argentina,ARG,2010,-0.032494448
Argentina,ARG,2011,0.0029888898
Argentina,ARG,2012,0.94078356
Argentina,ARG,2013,0.22144365
Argentina,ARG,2014,0.44268024
Argentina,ARG,2015,-0.08042693
Argentina,ARG,2016,-0.13253427
Argentina,ARG,2017,0.16225672
Argentina,ARG,2018,2.1101751
Argentina,ARG,2019,9.431496
Argentina,ARG,2020,11.545831
Argentina,ARG,2021,9.13833
Argentina,ARG,2022,3.0752602
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.09853655
Asia,,1991,0.26517576
Asia,,1992,0.28914076
Asia,,1993,0.26337236
Asia,,1994,0.7931446
Asia,,1995,1.5864643
Asia,,1996,-0.4072144
Asia,,1997,0.6475148
Asia,,1998,0.77509785
Asia,,1999,1.6907349
Asia,,2000,1.0434699
Asia,,2001,2.3570151
Asia,,2002,0.7267208
Asia,,2003,3.1948223
Asia,,2004,10.159325
Asia,,2005,5.8688374
Asia,,2006,16.339325
Asia,,2007,14.622105
Asia,,2008,31.35468
Asia,,2009,49.85531
Asia,,2010,74.87546
Asia,,2011,87.36528
Asia,,2012,91.30008
Asia,,2013,109.11932
Asia,,2014,67.6532
Asia,,2015,76.99579
Asia,,2016,187.07861
Asia,,2017,204.49872
Asia,,2018,191.74402
Asia,,2019,123.15161
Asia,,2020,163.3949
Asia,,2021,538.1251
Asia,,2022,308.5144
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
Asia Pacific (EI),,1990,0.095579445
Asia Pacific (EI),,1991,0.26517582
Asia Pacific (EI),,1992,0.2911842
Asia Pacific (EI),,1993,0.2701583
Asia Pacific (EI),,1994,0.8035658
Asia Pacific (EI),,1995,1.5908993
Asia Pacific (EI),,1996,-0.3855803
Asia Pacific (EI),,1997,0.65865445
Asia Pacific (EI),,1998,0.8149469
Asia Pacific (EI),,1999,1.666851
Asia Pacific (EI),,2000,1.5101285
Asia Pacific (EI),,2001,2.7518392
Asia Pacific (EI),,2002,1.5375357
Asia Pacific (EI),,2003,3.6182642
Asia Pacific (EI),,2004,10.98365
Asia Pacific (EI),,2005,7.9430676
Asia Pacific (EI),,2006,18.422699
Asia Pacific (EI),,2007,16.72971
Asia Pacific (EI),,2008,31.818268
Asia Pacific (EI),,2009,51.78801
Asia Pacific (EI),,2010,72.99127
Asia Pacific (EI),,2011,87.08235
Asia Pacific (EI),,2012,91.80032
Asia Pacific (EI),,2013,108.61685
Asia Pacific (EI),,2014,66.81958
Asia Pacific (EI),,2015,74.06262
Asia Pacific (EI),,2016,178.61536
Asia Pacific (EI),,2017,197.15979
Asia Pacific (EI),,2018,192.2445
Asia Pacific (EI),,2019,126.03467
Asia Pacific (EI),,2020,160.18494
Asia Pacific (EI),,2021,530.22266
Asia Pacific (EI),,2022,309.812
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.005913972
Australia,AUS,1994,0.010349472
Australia,AUS,1995,0.004435472
Australia,AUS,1996,0
Australia,AUS,1997,0.0014784988
Australia,AUS,1998,0.031048415
Australia,AUS,1999,0.07392472
Australia,AUS,2000,0.26908612
Australia,AUS,2001,0.4469086
Australia,AUS,2002,0.7141988
Australia,AUS,2003,0.48448837
Australia,AUS,2004,0.2490809
Australia,AUS,2005,1.4288042
Australia,AUS,2006,2.4323316
Australia,AUS,2007,1.9126091
Australia,AUS,2008,1.6537867
Australia,AUS,2009,2.6749125
Australia,AUS,2010,1.4429035
Australia,AUS,2011,3.9074068
Australia,AUS,2012,3.4377842
Australia,AUS,2013,4.05319
Australia,AUS,2014,1.2522087
Australia,AUS,2015,5.379095
Australia,AUS,2016,3.0418339
Australia,AUS,2017,0.24996948
Australia,AUS,2018,7.8669434
Australia,AUS,2019,8.302135
Australia,AUS,2020,8.045406
Australia,AUS,2021,10.743908
Australia,AUS,2022,12.405884
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.002957
Austria,AUT,1996,0.011827944
Austria,AUT,1997,0.044354778
Austria,AUT,1998,0.07392471
Austria,AUT,1999,0.017741963
Austria,AUT,2000,0.04731193
Austria,AUT,2001,0.30718112
Austria,AUT,2002,0.08722389
Austria,AUT,2003,0.4689219
Austria,AUT,2004,1.601201
Austria,AUT,2005,1.1493495
Austria,AUT,2006,1.17541
Austria,AUT,2007,0.77298117
Austria,AUT,2008,-0.108636856
Austria,AUT,2009,-0.1946783
Austria,AUT,2010,0.27148342
Austria,AUT,2011,-0.38714838
Austria,AUT,2012,1.409318
Austria,AUT,2013,1.8431482
Austria,AUT,2014,1.8246889
Austria,AUT,2015,2.6163473
Austria,AUT,2016,0.97894955
Austria,AUT,2017,3.4748383
Austria,AUT,2018,-1.5338268
Austria,AUT,2019,3.6833267
Austria,AUT,2020,-1.8016758
Austria,AUT,2021,-0.2000103
Austria,AUT,2022,1.252903
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.0058646947
Azerbaijan,AZE,2010,-0.004476906
Azerbaijan,AZE,2011,-0.0013877888
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0021803332
Azerbaijan,AZE,2014,0.0040505836
Azerbaijan,AZE,2015,0.006156749
Azerbaijan,AZE,2016,0.04864872
Azerbaijan,AZE,2017,-0.002221942
Azerbaijan,AZE,2018,0.15998721
Azerbaijan,AZE,2019,0.05902973
Azerbaijan,AZE,2020,-0.025444984
Azerbaijan,AZE,2021,-0.013222232
Azerbaijan,AZE,2022,-0.021989718
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0.0045526386
Bangladesh,BGD,2007,-0.000028444454
Bangladesh,BGD,2008,0.0036249724
Bangladesh,BGD,2009,0.006093667
Bangladesh,BGD,2010,-0.00008738972
Bangladesh,BGD,2011,-0.00008630473
Bangladesh,BGD,2012,-0.000085278414
Bangladesh,BGD,2013,-0.0001360001
Bangladesh,BGD,2014,-0.00008294452
Bangladesh,BGD,2015,-0.00008191634
Bangladesh,BGD,2016,-0.00008097198
Bangladesh,BGD,2017,-0.00008000061
Bangladesh,BGD,2018,-0.00007908326
Bangladesh,BGD,2019,-0.000049555674
Bangladesh,BGD,2020,-0.000012665987
Bangladesh,BGD,2021,-0.00008538924
Bangladesh,BGD,2022,-0.000048472546
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.0029107498
Belarus,BLR,2005,-0.000047333073
Belarus,BLR,2006,-0.000018000137
Belarus,BLR,2007,-0.00001780549
Belarus,BLR,2008,-0.00001755543
Belarus,BLR,2009,-0.000017333543
Belarus,BLR,2010,-0.000017144484
Belarus,BLR,2011,0.008259033
Belarus,BLR,2012,0.0054169996
Belarus,BLR,2013,0.0053517222
Belarus,BLR,2014,0.0025785565
Belarus,BLR,2015,0.080643944
Belarus,BLR,2016,0.09039777
Belarus,BLR,2017,0.06272167
Belarus,BLR,2018,0.0037816465
Belarus,BLR,2019,0.17564446
Belarus,BLR,2020,0.04829222
Belarus,BLR,2021,-0.004394144
Belarus,BLR,2022,-0.0017558336
Belgium,BEL,1987,0.017741943
Belgium,BEL,1988,0.005913973
Belgium,BEL,1989,-0.0029569995
Belgium,BEL,1990,0
Belgium,BEL,1991,0.0029569995
Belgium,BEL,1992,0.0029569715
Belgium,BEL,1993,-0.0029569715
Belgium,BEL,1994,0.0029569715
Belgium,BEL,1995,0
Belgium,BEL,1996,-0.0029569715
Belgium,BEL,1997,0
Belgium,BEL,1998,0.008871028
Belgium,BEL,1999,0.005913887
Belgium,BEL,2000,0.008871112
Belgium,BEL,2001,0.061386105
Belgium,BEL,2002,0.057675563
Belgium,BEL,2003,0.08883721
Belgium,BEL,2004,0.15398389
Belgium,BEL,2005,0.24080026
Belgium,BEL,2006,0.391423
Belgium,BEL,2007,0.34694386
Belgium,BEL,2008,0.40164506
Belgium,BEL,2009,0.99153423
Belgium,BEL,2010,0.8045068
Belgium,BEL,2011,2.7919614
Belgium,BEL,2012,1.1878128
Belgium,BEL,2013,2.422834
Belgium,BEL,2014,2.5146427
Belgium,BEL,2015,2.507329
Belgium,BEL,2016,-0.5024233
Belgium,BEL,2017,2.845271
Belgium,BEL,2018,2.6855278
Belgium,BEL,2019,5.6759605
Belgium,BEL,2020,7.950388
Belgium,BEL,2021,-2.2715092
Belgium,BEL,2022,-0.3503723
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.005913972
Brazil,BRA,1997,0.005913972
Brazil,BRA,1998,0.0029569995
Brazil,BRA,1999,-0.008870971
Brazil,BRA,2000,-0.002956972
Brazil,BRA,2001,0.09957188
Brazil,BRA,2002,0.07552001
Brazil,BRA,2003,-0.0011413991
Brazil,BRA,2004,-0.0011266619
Brazil,BRA,2005,0.090230286
Brazil,BRA,2006,0.4083497
Brazil,BRA,2007,1.1997349
Brazil,BRA,2008,1.4502031
Brazil,BRA,2009,0.13307858
Brazil,BRA,2010,2.5838308
Brazil,BRA,2011,1.4203153
Brazil,BRA,2012,6.3852506
Brazil,BRA,2013,4.0752
Brazil,BRA,2014,15.156792
Brazil,BRA,2015,25.15865
Brazil,BRA,2016,31.413555
Brazil,BRA,2017,23.11657
Brazil,BRA,2018,15.484459
Brazil,BRA,2019,19.32454
Brazil,BRA,2020,2.2551117
Brazil,BRA,2021,39.317398
Brazil,BRA,2022,23.675446
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.002881639
Bulgaria,BGR,2005,0.0114354165
Bulgaria,BGR,2006,0.042590998
Bulgaria,BGR,2007,0.07598999
Bulgaria,BGR,2008,0.20992915
Bulgaria,BGR,2009,0.31904554
Bulgaria,BGR,2010,1.2282964
Bulgaria,BGR,2011,0.48503232
Bulgaria,BGR,2012,0.97270155
Bulgaria,BGR,2013,0.39549112
Bulgaria,BGR,2014,-0.138731
Bulgaria,BGR,2015,0.3042159
Bulgaria,BGR,2016,-0.09418082
Bulgaria,BGR,2017,0.18805265
Bulgaria,BGR,2018,-0.51535726
Bulgaria,BGR,2019,-0.015849829
Bulgaria,BGR,2020,0.40782928
Bulgaria,BGR,2021,-0.1282072
Bulgaria,BGR,2022,0.15530896
CIS (EI),,1991,0
CIS (EI),,1992,0
CIS (EI),,1993,0
CIS (EI),,1994,0
CIS (EI),,1995,0
CIS (EI),,1996,0
CIS (EI),,1997,0
CIS (EI),,1998,0
CIS (EI),,1999,0
CIS (EI),,2000,0.0056182775
CIS (EI),,2001,0.0034888615
CIS (EI),,2002,0.008989638
CIS (EI),,2003,0.0068442784
CIS (EI),,2004,-0.0018587224
CIS (EI),,2005,-0.0007476937
CIS (EI),,2006,0.0027049165
CIS (EI),,2007,0.004650444
CIS (EI),,2008,-0.006928526
CIS (EI),,2009,0.008516857
CIS (EI),,2010,-0.0041165277
CIS (EI),,2011,0.00742903
CIS (EI),,2012,0.015081942
CIS (EI),,2013,0.007892776
CIS (EI),,2014,0.28289
CIS (EI),,2015,0.5456919
CIS (EI),,2016,0.5163614
CIS (EI),,2017,0.21279776
CIS (EI),,2018,0.57819986
CIS (EI),,2019,1.378614
CIS (EI),,2020,2.9953926
CIS (EI),,2021,5.697127
CIS (EI),,2022,6.269887
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0.0027180277
Canada,CAN,1991,0
Canada,CAN,1992,0.16878746
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,0
Canada,CAN,1996,0.00887084
Canada,CAN,1997,0
Canada,CAN,1998,0
Canada,CAN,1999,0.29569888
Canada,CAN,2000,0.30161303
Canada,CAN,2001,0.18588692
Canada,CAN,2002,0.21559578
Canada,CAN,2003,0.81895757
Canada,CAN,2004,0.72207546
Canada,CAN,2005,1.7651093
Canada,CAN,2006,2.548602
Canada,CAN,2007,1.4665713
Canada,CAN,2008,2.1425009
Canada,CAN,2009,7.902275
Canada,CAN,2010,5.666462
Canada,CAN,2011,3.8920746
Canada,CAN,2012,2.9086132
Canada,CAN,2013,-0.6393795
Canada,CAN,2014,4.3467083
Canada,CAN,2015,37.897038
Canada,CAN,2016,10.189377
Canada,CAN,2017,1.0577698
Canada,CAN,2018,4.6892014
Canada,CAN,2019,-1.8969803
Canada,CAN,2020,7.2687683
Canada,CAN,2021,-2.9807281
Canada,CAN,2022,6.8875885
Central America (EI),,1972,0
Central America (EI),,1973,0
Central America (EI),,1974,0
Central America (EI),,1975,0
Central America (EI),,1976,0
Central America (EI),,1977,0
Central America (EI),,1978,0
Central America (EI),,1979,0
Central America (EI),,1980,0
Central America (EI),,1981,0
Central America (EI),,1982,0
Central America (EI),,1983,0
Central America (EI),,1984,0
Central America (EI),,1985,0
Central America (EI),,1986,0
Central America (EI),,1987,0
Central America (EI),,1988,0
Central America (EI),,1989,0
Central America (EI),,1990,0
Central America (EI),,1991,0
Central America (EI),,1992,0
Central America (EI),,1993,0
Central America (EI),,1994,0
Central America (EI),,1995,0
Central America (EI),,1996,0.06679944
Central America (EI),,1997,0.1570814
Central America (EI),,1998,-0.03401722
Central America (EI),,1999,0.10481833
Central America (EI),,2000,0.22272941
Central America (EI),,2001,0.009698927
Central America (EI),,2002,0.21519136
Central America (EI),,2003,-0.07462388
Central America (EI),,2004,0.068394184
Central America (EI),,2005,-0.15676582
Central America (EI),,2006,0.19510663
Central America (EI),,2007,-0.09466195
Central America (EI),,2008,-0.12314242
Central America (EI),,2009,0.6202031
Central America (EI),,2010,0.27168775
Central America (EI),,2011,0.59775233
Central America (EI),,2012,1.0500968
Central America (EI),,2013,0.580183
Central America (EI),,2014,1.9961939
Central America (EI),,2015,2.7706332
Central America (EI),,2016,0.38945198
Central America (EI),,2017,-0.29119968
Central America (EI),,2018,3.1936445
Central America (EI),,2019,-0.13651371
Central America (EI),,2020,-2.0716581
Central America (EI),,2021,0.9107857
Central America (EI),,2022,-0.9244671
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.020564528
Chile,CHL,2002,-0.0001326967
Chile,CHL,2003,-0.00013097003
Chile,CHL,2004,-0.005892611
Chile,CHL,2005,0.0056356387
Chile,CHL,2006,-0.00012605637
Chile,CHL,2007,0.011751613
Chile,CHL,2008,0.075458884
Chile,CHL,2009,0.113535546
Chile,CHL,2010,0.68230414
Chile,CHL,2011,0.028341651
Chile,CHL,2012,0.18846226
Chile,CHL,2013,0.36578655
Chile,CHL,2014,2.4239953
Chile,CHL,2015,1.785135
Chile,CHL,2016,0.86897755
Chile,CHL,2017,3.085
Chile,CHL,2018,-0.15607548
Chile,CHL,2019,3.4110765
Chile,CHL,2020,1.8095989
Chile,CHL,2021,5.2470016
Chile,CHL,2022,4.457163
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0059737223
China,CHN,1991,0.020908
China,CHN,1992,0.36140963
China,CHN,1993,0.23894864
China,CHN,1994,0.5077657
China,CHN,1995,0.6869776
China,CHN,1996,-1.5442055
China,CHN,1997,0.3076464
China,CHN,1998,0.46594965
China,CHN,1999,0.3494625
China,CHN,2000,0.34348857
China,CHN,2001,0.36850834
China,CHN,2002,0.3313222
China,CHN,2003,0.4471798
China,CHN,2004,0.79077554
China,CHN,2005,1.890266
China,CHN,2006,4.9892488
China,CHN,2007,4.931738
China,CHN,2008,21.318398
China,CHN,2009,40.308975
China,CHN,2010,59.9918
China,CHN,2011,67.30376
China,CHN,2012,78.13989
China,CHN,2013,94.27133
China,CHN,2014,55.98529
China,CHN,2015,66.9798
China,CHN,2016,144.99994
China,CHN,2017,165.83649
China,CHN,2018,157.17798
China,CHN,2019,100.55261
China,CHN,2020,156.80432
China,CHN,2021,490.85278
China,CHN,2022,272.43298
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.14981695
Colombia,COL,2005,-0.008135289
Colombia,COL,2006,0.037525833
Colombia,COL,2007,-0.03813471
Colombia,COL,2008,0.010440275
Colombia,COL,2009,0.009648338
Colombia,COL,2010,-0.05410751
Colombia,COL,2011,0.0068011135
Colombia,COL,2012,0.036553062
Colombia,COL,2013,0.006643608
Colombia,COL,2014,0.03320916
Colombia,COL,2015,-0.0061222166
Colombia,COL,2016,-0.04791139
Colombia,COL,2017,-0.12805328
Colombia,COL,2018,0.10675633
Colombia,COL,2019,0.051979452
Colombia,COL,2020,-0.14033167
Colombia,COL,2021,0.1316525
Colombia,COL,2022,0.036991656
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0.005763306
Croatia,HRV,2005,0.022870861
Croatia,HRV,2006,0.02542861
Croatia,HRV,2007,0.04462111
Croatia,HRV,2008,0.013437502
Croatia,HRV,2009,0.03924361
Croatia,HRV,2010,0.23471804
Croatia,HRV,2011,0.1684067
Croatia,HRV,2012,0.34691054
Croatia,HRV,2013,0.5084228
Croatia,HRV,2014,0.5677371
Croatia,HRV,2015,0.16683996
Croatia,HRV,2016,0.57078004
Croatia,HRV,2017,0.48901343
Croatia,HRV,2018,0.32891035
Croatia,HRV,2019,0.33465815
Croatia,HRV,2020,0.65129375
Croatia,HRV,2021,0.876009
Croatia,HRV,2022,0.5987625
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.0010229861
Cyprus,CYP,2005,-0.00000647502
Cyprus,CYP,2006,-0.000006391667
Cyprus,CYP,2007,-0.0000034861732
Cyprus,CYP,2008,-0.0000062527834
Cyprus,CYP,2009,-0.000006175018
Cyprus,CYP,2010,0.08504885
Cyprus,CYP,2011,0.22844362
Cyprus,CYP,2012,0.19277138
Cyprus,CYP,2013,0.12231362
Cyprus,CYP,2014,-0.13136864
Cyprus,CYP,2015,0.09925169
Cyprus,CYP,2016,0.009432495
Cyprus,CYP,2017,-0.044157207
Cyprus,CYP,2018,0.02094388
Cyprus,CYP,2019,0.045176923
